windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount
150,1770808179.809892,1770808184.809892,170.0,1146.1764705882354,672.4227533378123,4.0,3.0,4.0,5.0,168.0,0.0
151,1770808184.809892,1770808189.809892,288.0,896.3472222222222,740.5503680761778,3.0,3.0,3.0,2.0,233.0,55.0
152,1770808189.809892,1770808194.809892,116.0,1134.0344827586207,651.1640804514365,3.0,3.0,4.0,4.0,116.0,0.0
153,1770808194.809892,1770808199.809892,139.0,1106.7194244604316,643.720346482095,2.0,2.0,2.0,2.0,139.0,0.0
154,1770808199.809892,1770808204.809892,217.0,907.0506912442396,746.1800449325476,3.0,3.0,4.0,4.0,159.0,58.0
155,1770808204.809892,1770808209.809892,9.0,141.33333333333334,185.2478070045635,3.0,3.0,4.0,3.0,9.0,0.0
156,1770808209.809892,1770808214.809892,101.0,354.56435643564356,561.6821239071363,4.0,4.0,6.0,7.0,99.0,0.0
157,1770808214.809892,1770808219.809892,56.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,56.0
158,1770808219.809892,1770808224.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
159,1770808224.809892,1770808229.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,1770808229.809892,1770808234.809892,63.0,76.57142857142857,95.4508342087804,2.0,2.0,2.0,2.0,5.0,58.0
161,1770808234.809892,1770808239.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,1770808239.809892,1770808244.809892,9.0,194.0,232.34995158166052,3.0,3.0,4.0,4.0,9.0,0.0
163,1770808244.809892,1770808249.809892,52.0,61.96153846153846,7.92356014868722,3.0,3.0,2.0,2.0,4.0,46.0
164,1770808249.809892,1770808254.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
165,1770808254.809892,1770808259.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,1770808259.809892,1770808264.809892,59.0,77.69491525423729,98.58485828992416,2.0,2.0,2.0,2.0,5.0,54.0
167,1770808264.809892,1770808269.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
168,1770808269.809892,1770808274.809892,8.0,210.0,243.03438910103705,3.0,3.0,4.0,4.0,8.0,0.0
169,1770808274.809892,1770808279.809892,40.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,38.0
170,1770808279.809892,1770808284.809892,6.0,237.0,280.8999822000706,2.0,2.0,2.0,2.0,6.0,0.0
171,1770808284.809892,1770808289.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,1770808289.809892,1770808294.809892,64.0,76.3125,94.71291207795126,2.0,2.0,2.0,2.0,5.0,59.0
173,1770808294.809892,1770808299.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
174,1770808299.809892,1770808304.809892,14.0,230.5,294.72118505984076,3.0,3.0,4.0,4.0,14.0,0.0
175,1770808304.809892,1770808309.809892,57.0,60.0,0.0,2.0,2.0,0.0,0.0,0.0,55.0
176,1770808309.809892,1770808314.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
177,1770808314.809892,1770808319.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1770808319.809892,1770808324.809892,57.0,78.3157894736842,100.27215784602302,2.0,2.0,2.0,2.0,5.0,52.0
179,1770808324.809892,1770808329.809892,1.0,135.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
180,1770808329.809892,1770808334.809892,7.0,220.71428571428572,260.4583871342434,3.0,3.0,4.0,4.0,7.0,0.0
181,1770808334.809892,1770808339.809892,58.0,60.775862068965516,5.16752037128629,3.0,3.0,2.0,2.0,2.0,54.0
182,1770808339.809892,1770808344.809892,5.0,268.8,301.7394571480501,2.0,2.0,2.0,2.0,5.0,0.0
183,1770808344.809892,1770808349.809892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,1770808349.809892,1770808354.809892,63.0,76.57142857142857,95.4508342087804,2.0,2.0,2.0,2.0,5.0,58.0
