windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,label
53460,1773402968.767854,1773402973.767854,4,135.5,155.0258043036707,2,3,3,2,0,0,4,0,bulboff
53461,1773402969.767854,1773402974.767854,10,137.5,130.19067213556858,4,4,5,5,0,0,10,0,bulboff
53462,1773402970.767854,1773402975.767854,10,137.5,130.19067213556858,4,4,5,5,0,0,10,0,bulboff
53463,1773402971.767854,1773402976.767854,10,137.5,130.19067213556858,4,4,5,5,0,0,10,0,bulboff
53464,1773402972.767854,1773402977.767854,13,125.76923076923077,115.16303938775513,6,6,6,6,0,0,13,0,idle
53465,1773402973.767854,1773402978.767854,9,121.44444444444444,103.98570948826467,5,5,5,5,0,0,9,0,idle
53466,1773402974.767854,1773402979.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53467,1773402975.767854,1773402980.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53468,1773402976.767854,1773402981.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53470,1773402978.767854,1773402983.767854,12,181.5,150.1069315824253,3,3,4,4,0,0,12,0,bulbon
53471,1773402979.767854,1773402984.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbon
53472,1773402980.767854,1773402985.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbon
53473,1773402981.767854,1773402986.767854,14,173.71428571428572,142.39783304932297,3,3,4,4,0,0,14,0,bulbon
53474,1773402982.767854,1773402987.767854,17,153.2941176470588,136.17716617787028,4,4,5,5,0,0,17,0,idle
53475,1773402983.767854,1773402988.767854,5,85.6,64.0218712628739,3,3,3,3,0,0,5,0,idle
53476,1773402984.767854,1773402989.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53477,1773402985.767854,1773402990.767854,7,64.85714285714286,6.718843437888483,3,3,2,2,1,1,3,4,idle
53478,1773402986.767854,1773402991.767854,10,66.4,6.022181221672648,3,3,2,2,1,1,3,7,idle
53479,1773402987.767854,1773402992.767854,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
53480,1773402988.767854,1773402993.767854,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
53481,1773402989.767854,1773402994.767854,8,70.0,0.0,1,1,0,0,1,1,0,8,idle
53482,1773402990.767854,1773402995.767854,4,70.0,0.0,1,1,0,0,1,1,0,4,idle
53483,1773402991.767854,1773402996.767854,1,70.0,,1,1,0,0,1,1,0,1,idle
53486,1773402994.767854,1773402999.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53487,1773402995.767854,1773403000.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53488,1773402996.767854,1773403001.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53489,1773402997.767854,1773403002.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53490,1773402998.767854,1773403003.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53494,1773403002.767854,1773403007.767854,10,138.8,129.13541557433248,3,3,4,4,0,0,10,0,bulbchange
53495,1773403003.767854,1773403008.767854,10,138.8,129.13541557433248,3,3,4,4,0,0,10,0,bulbchange
53496,1773403004.767854,1773403009.767854,10,138.8,129.13541557433248,3,3,4,4,0,0,10,0,bulbchange
53497,1773403005.767854,1773403010.767854,10,138.8,129.13541557433248,3,3,4,4,0,0,10,0,bulbchange
53498,1773403006.767854,1773403011.767854,10,138.8,129.13541557433248,3,3,4,4,0,0,10,0,idle
53501,1773403009.767854,1773403014.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53502,1773403010.767854,1773403015.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53503,1773403011.767854,1773403016.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53504,1773403012.767854,1773403017.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53505,1773403013.767854,1773403018.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53509,1773403017.767854,1773403022.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53510,1773403018.767854,1773403023.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53511,1773403019.767854,1773403024.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53512,1773403020.767854,1773403025.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53513,1773403021.767854,1773403026.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53516,1773403024.767854,1773403029.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53517,1773403025.767854,1773403030.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53518,1773403026.767854,1773403031.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53519,1773403027.767854,1773403032.767854,6,72.33333333333333,19.47990417498676,4,4,4,4,0,0,6,0,idle
53520,1773403028.767854,1773403033.767854,6,72.33333333333333,19.47990417498676,4,4,4,4,0,0,6,0,idle
53521,1773403029.767854,1773403034.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53522,1773403030.767854,1773403035.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53523,1773403031.767854,1773403036.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53524,1773403032.767854,1773403037.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53525,1773403033.767854,1773403038.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53526,1773403034.767854,1773403039.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53527,1773403035.767854,1773403040.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53528,1773403036.767854,1773403041.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53529,1773403037.767854,1773403042.767854,3,266.6666666666667,178.9897576213045,2,3,3,3,0,0,3,0,bulboff
53530,1773403038.767854,1773403043.767854,10,150.7,123.93820144643772,5,5,5,5,0,0,10,0,bulboff
53531,1773403039.767854,1773403044.767854,10,150.7,123.93820144643772,5,5,5,5,0,0,10,0,bulboff
53532,1773403040.767854,1773403045.767854,10,150.7,123.93820144643772,5,5,5,5,0,0,10,0,bulboff
53533,1773403041.767854,1773403046.767854,10,150.7,123.93820144643772,5,5,5,5,0,0,10,0,idle
53534,1773403042.767854,1773403047.767854,7,101.0,52.49761899362675,5,5,5,5,0,0,7,0,idle
53539,1773403047.767854,1773403052.767854,5,62.8,7.014271166700072,3,3,2,2,1,1,3,2,idle
53540,1773403048.767854,1773403053.767854,8,65.5,6.48074069840786,3,3,2,2,1,1,3,5,idle
53541,1773403049.767854,1773403054.767854,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
53542,1773403050.767854,1773403055.767854,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
53543,1773403051.767854,1773403056.767854,11,66.72727272727273,5.815340215170718,3,3,2,2,1,1,3,8,idle
53544,1773403052.767854,1773403057.767854,6,70.0,0.0,1,1,0,0,1,1,0,6,idle
53545,1773403053.767854,1773403058.767854,6,64.0,6.928203230275509,3,3,2,2,1,1,3,3,idle
53546,1773403054.767854,1773403059.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53547,1773403055.767854,1773403060.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53548,1773403056.767854,1773403061.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53549,1773403057.767854,1773403062.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53554,1773403062.767854,1773403067.767854,17,151.41176470588235,132.73142940894283,4,4,5,5,0,0,17,0,bulbon
53555,1773403063.767854,1773403068.767854,17,151.41176470588235,132.73142940894283,4,4,5,5,0,0,17,0,bulbon
53556,1773403064.767854,1773403069.767854,17,151.41176470588235,132.73142940894283,4,4,5,5,0,0,17,0,bulbon
53557,1773403065.767854,1773403070.767854,17,151.41176470588235,132.73142940894283,4,4,5,5,0,0,17,0,bulbon
53558,1773403066.767854,1773403071.767854,17,151.41176470588235,132.73142940894283,4,4,5,5,0,0,17,0,idle
53567,1773403075.767854,1773403080.767854,3,76.66666666666667,14.433756729740644,2,2,2,2,0,0,3,0,idle
53568,1773403076.767854,1773403081.767854,3,76.66666666666667,14.433756729740644,2,2,2,2,0,0,3,0,idle
53569,1773403077.767854,1773403082.767854,6,67.33333333333333,13.880441875771343,4,4,4,4,0,0,6,0,idle
53570,1773403078.767854,1773403083.767854,6,67.33333333333333,13.880441875771343,4,4,4,4,0,0,6,0,idle
53571,1773403079.767854,1773403084.767854,6,67.33333333333333,13.880441875771343,4,4,4,4,0,0,6,0,idle
53572,1773403080.767854,1773403085.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53573,1773403081.767854,1773403086.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53574,1773403082.767854,1773403087.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53575,1773403083.767854,1773403088.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53576,1773403084.767854,1773403089.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53577,1773403085.767854,1773403090.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53578,1773403086.767854,1773403091.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,0,0,3,0,idle
53584,1773403092.767854,1773403097.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53585,1773403093.767854,1773403098.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53586,1773403094.767854,1773403099.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53587,1773403095.767854,1773403100.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53588,1773403096.767854,1773403101.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53599,1773403107.767854,1773403112.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53600,1773403108.767854,1773403113.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53601,1773403109.767854,1773403114.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53602,1773403110.767854,1773403115.767854,8,68.0,11.795883059053152,4,4,4,4,1,1,6,2,idle
53603,1773403111.767854,1773403116.767854,11,68.54545454545455,9.91326017376359,4,4,4,4,1,1,6,5,idle
53604,1773403112.767854,1773403117.767854,11,71.81818181818181,7.166842844909909,3,3,2,2,1,1,3,8,idle
53605,1773403113.767854,1773403118.767854,11,71.81818181818181,7.166842844909909,3,3,2,2,1,1,3,8,idle
53606,1773403114.767854,1773403119.767854,17,113.58823529411765,101.79762940727636,4,4,4,4,1,1,9,8,bulboff
53607,1773403115.767854,1773403120.767854,12,130.08333333333334,118.41103936045933,4,4,4,4,1,1,6,6,bulboff
53608,1773403116.767854,1773403121.767854,9,150.11111111111111,132.18967853471432,4,4,4,4,1,1,6,3,bulboff
53609,1773403117.767854,1773403122.767854,6,190.16666666666666,148.93813033157986,3,3,4,4,0,0,6,0,bulboff
53610,1773403118.767854,1773403123.767854,6,190.16666666666666,148.93813033157986,3,3,4,4,0,0,6,0,idle
53621,1773403129.767854,1773403134.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53622,1773403130.767854,1773403135.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53623,1773403131.767854,1773403136.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
53624,1773403132.767854,1773403137.767854,3,58.0,3.4641016151377544,2,2,2,2,0,0,3,0,idle
