windowID,windowStart,windowEnd,packetCount,tcpPacketCount,avgPacketLength,stdPacketLength,minPacketLength,maxPacketLength,medianPacketLength,smallPacketCount,largePacketCount,packetsPerSecond,uniqueSrcIPs,uniqueDstIPs,avgTTL,stdTTL,avgIPLen,stdIPLen,uniqueTCPSrcPorts,uniqueTCPDstPorts,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,tcpPayloadPacketRatio,avgTCPWindowSize,ackCount,avgInterArrivalTime,stdInterArrivalTime,packetsTobedroomBulb,packetsFrombedroomBulb,packetsToloungeBulb,packetsFromloungeBulb,packetsTocamera,packetsFromcamera,packetsTomotionSensor,packetsFrommotionSensor,packetsToplug,packetsFromplug,packetsToalexa,packetsFromalexa,tlsHandshakeCount,avgTLSRecordLen,stdTLSRecordLen,avgACKRoundTripTime,stdACKRoundTripTime,avgTimeDelta,stdTimeDelta,label
17,1774266619.048157,1774266621.048157,17,6,107.41176470588235,69.08785966391763,60,371,98.0,16,0,913.0,9,8,159.88235294117646,93.79557715648242,92.70588235294117,69.62916478197404,2,2,68.66666666666667,122.64528799210618,4,0.6666666666666666,22947.5,6,0.010878823529411764,0.011115751657194028,2,3,2,3,1,1,1,1,1,1,0,0,0,98.0,142.6697818974525,0.070737,0.052400256646954184,0.014671333333333333,0.009588169015336904,bulbChange
18,1774266620.2923114,1774266622.2923114,6,6,125.0,122.14581450053866,60,373,85.0,5,0,375.0,4,4,208.33333333333334,72.29568912920512,109.0,123.4552550521848,2,2,69.0,123.4552550521848,4,0.6666666666666666,22967.166666666668,6,0.03501866666666666,0.03458609224914932,1,2,0,0,0,0,0,0,1,2,0,0,0,98.5,143.6697602141801,0.10135025,0.10561750331700076,0.03501866666666666,0.03458609224914932,plugOff
19,1774266627.429556,1774266629.429556,3,3,173.0,172.86700089953547,60,372,87.0,2,0,259.5,2,2,208.33333333333334,80.82903768654761,157.0,174.85136545077364,2,2,117.0,174.85136545077364,2,0.6666666666666666,23220.0,3,0.009345666666666667,0.008797855496274834,0,0,0,0,0,0,0,0,1,2,0,0,0,170.5,201.52543263816605,0.1437315,0.164207872261046,0.009345666666666667,0.008797855496274834,plugOn
20,1774266641.630184,1774266643.630184,3,3,172.66666666666666,172.2914197902302,60,371,87.0,2,0,259.0,2,2,208.33333333333334,80.82903768654761,156.66666666666666,174.27660007394374,2,2,116.66666666666667,174.27660007394374,2,0.6666666666666666,22671.0,3,0.053985,0.06504091420790455,1,2,0,0,0,0,0,0,0,0,0,0,0,170.0,200.8183258569795,0.1276145,0.14335246485672995,0.053985,0.06504091420790455,bulbOff
21,1774266651.3461041,1774266653.3461041,4,4,243.25,284.05677249451384,60,667,123.0,1,1,486.5,2,2,185.0,80.82903768654761,227.75,285.35986052701946,2,2,187.75,285.35986052701946,3,0.75,34124.0,4,0.00830525,0.009776232040856368,0,0,0,0,0,0,2,2,0,0,0,0,0,245.33333333333334,314.0785464391564,0.017984,0.010497707273495485,0.00830525,0.009776232040856368,movingAroundHouse
22,1774266652.5728736,1774266654.5728736,3,3,173.33333333333334,173.44259376904316,60,373,87.0,2,0,260.0,2,2,208.33333333333334,80.82903768654761,157.33333333333334,175.42614780395004,2,2,117.33333333333333,175.42614780395007,2,0.6666666666666666,23177.333333333332,3,0.018328666666666667,0.023478082467129492,0,0,0,0,0,0,0,0,1,2,0,0,0,171.0,202.2325394193526,0.139428,0.16235171696043132,0.018328666666666667,0.023478082467129492,plugOff
23,1774266656.0302706,1774266658.0302706,8,8,186.5,152.63869571170812,60,371,87.0,5,0,746.0,2,2,202.5,72.4568837309472,171.0,154.07790237409128,2,2,131.0,154.07790237409128,6,0.75,25216.875,8,0.034601124999999996,0.027538787526155076,3,5,0,0,0,0,0,0,0,0,0,0,0,169.66666666666666,155.1884875455221,0.060713833333333335,0.04470990038198103,0.034601124999999996,0.027538787526155076,bulbOn
24,1774266656.543129,1774266658.543129,8,8,186.5,152.63869571170812,60,371,87.0,5,0,746.0,2,2,202.5,72.4568837309472,171.0,154.07790237409128,2,2,131.0,154.07790237409128,6,0.75,25216.875,8,0.034601124999999996,0.027538787526155076,3,5,0,0,0,0,0,0,0,0,0,0,0,169.66666666666666,155.1884875455221,0.060713833333333335,0.04470990038198103,0.034601124999999996,0.027538787526155076,bulbChange
25,1774266660.713419,1774266662.713419,12,12,150.41666666666666,139.4374792014708,60,475,80.5,8,0,902.5,6,6,155.25,88.15907626145324,135.41666666666666,140.1625409258404,5,5,88.08333333333333,143.2381731328079,6,0.5,16194.666666666666,11,0.022709749999999997,0.03125548394391266,0,0,0,0,2,4,1,2,1,2,0,0,0,171.16666666666666,162.84031032476776,0.047455125,0.0535847959258101,0.022709749999999997,0.03125548394391266,plugOn
26,1774266665.802051,1774266667.802051,1037,1037,1078.7733847637417,864.0396401521551,66,10062,1494.0,310,711,559344.0,2,2,59.841851494696236,6.400264205237453,1064.7733847637417,864.0396401521551,2,2,1012.7733847637415,864.0396401521552,729,0.7029893924783028,2724.7695274831244,1037,0.0017547868852459017,0.0036753066659407003,0,0,0,0,308,729,0,0,0,0,0,0,0,4984.25,4731.115893453746,0.01843089935064935,0.002311866051060307,0.0017547868852459017,0.0036753066659407003,outsideDetection
