windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
9528,1773397148.767854,1773397153.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9529,1773397153.767854,1773397158.767854,9,66.0,6.244997998398398,3,3,2,2,3,6,idle
9530,1773397158.767854,1773397163.767854,11,160.63636363636363,139.63829899226982,4,4,4,4,9,2,bulbchange
9531,1773397163.767854,1773397168.767854,11,158.36363636363637,141.5699634295868,4,4,5,5,11,0,bulboff
9534,1773397178.767854,1773397183.767854,15,131.66666666666666,127.95739618363308,4,4,5,5,15,0,bulbon
9535,1773397183.767854,1773397188.767854,185,93.11351351351351,15.97256755248092,2,2,2,2,185,0,bulbchange
9536,1773397188.767854,1773397193.767854,575,104.23130434782608,146.9341401003911,5,5,6,6,575,0,bulbchange
9537,1773397193.767854,1773397198.767854,6,72.33333333333333,19.479904174986764,4,4,4,4,6,0,idle
9538,1773397198.767854,1773397203.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
9539,1773397203.767854,1773397208.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9540,1773397208.767854,1773397213.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9542,1773397218.767854,1773397223.767854,26,84.76923076923077,16.17975943531347,7,7,2,2,3,8,idle
9543,1773397223.767854,1773397228.767854,10,86.0,19.390719429665317,6,5,2,2,3,0,idle
9545,1773397233.767854,1773397238.767854,11,158.36363636363637,141.5699634295868,3,3,4,4,11,0,bulboff
9546,1773397238.767854,1773397243.767854,21,121.57142857142857,117.57022217745929,5,5,6,6,21,0,bulbchange
9548,1773397248.767854,1773397253.767854,403,115.88089330024813,288.79867956864535,6,6,6,6,403,0,idle
9549,1773397253.767854,1773397258.767854,600,93.77333333333333,18.010253680008304,4,4,4,4,600,0,bulbon
9550,1773397258.767854,1773397263.767854,13,200.0,188.80766227389537,5,5,5,5,13,0,bulbon
9552,1773397268.767854,1773397273.767854,15,206.86666666666667,183.24841323291437,5,5,5,5,15,0,bulbchange
9553,1773397273.767854,1773397278.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9554,1773397278.767854,1773397283.767854,11,96.18181818181819,74.42690129491913,2,3,2,2,3,8,idle
9555,1773397283.767854,1773397288.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9556,1773397288.767854,1773397293.767854,41,147.17073170731706,82.10234541078117,4,4,4,4,41,0,idle
9557,1773397293.767854,1773397298.767854,3,76.66666666666667,14.433756729740647,2,2,2,2,3,0,idle
9558,1773397298.767854,1773397303.767854,11,158.36363636363637,141.5699634295868,4,4,5,5,11,0,bulboff
9559,1773397303.767854,1773397308.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,bulboff
9560,1773397308.767854,1773397313.767854,419,120.96658711217184,255.3618575800728,5,5,6,6,419,0,bulbon
9561,1773397313.767854,1773397318.767854,926,96.19006479481641,17.83184362680797,4,4,4,4,926,0,idle
9562,1773397318.767854,1773397323.767854,528,97.08712121212122,36.44943971385528,5,5,6,6,528,0,bulbchange
9563,1773397323.767854,1773397328.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9565,1773397333.767854,1773397338.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9566,1773397338.767854,1773397343.767854,9,66.0,6.244997998398398,3,3,2,2,3,6,idle
9567,1773397343.767854,1773397348.767854,2,70.0,0.0,1,1,0,0,0,2,idle
9568,1773397348.767854,1773397353.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9569,1773397353.767854,1773397358.767854,3,58.0,3.4641016151377544,2,2,2,2,3,0,idle
9570,1773397358.767854,1773397363.767854,3,86.66666666666667,17.8978583448784,2,2,2,2,3,0,bulboff
9571,1773397363.767854,1773397368.767854,9,181.0,148.18400723424912,3,3,4,4,9,0,bulboff
9572,1773397368.767854,1773397373.767854,8,150.875,210.5628087497206,4,4,4,4,8,0,idle
9574,1773397378.767854,1773397383.767854,20,131.05,120.23856768065204,6,6,6,6,20,0,bulbchange
9575,1773397383.767854,1773397388.767854,4,243.25,284.05677249451384,2,2,2,2,4,0,bulbon
9576,1773397388.767854,1773397393.767854,9,180.88888888888889,148.02317761455842,3,3,4,4,9,0,bulbon
