frame.time_epoch,ip.src,ip.dst,ip.ttl,tcp.flags,tcp.window_size_value,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1770659340.311204000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.322576000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.322576000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.329329000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.329954000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.330233000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.333956000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.344443000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.355333000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.369486000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.370285000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.371383000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.371561000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.377913000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.386038000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.406618000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.409817000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.410761000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.420945000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.422902000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.427544000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.449816000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.450150000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.451019000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.456301000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.462302000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.469021000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.481656000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.491707000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.492763000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.500081000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.501084000,192.168.0.35,192.168.0.187,64,0x0018,2043,6,779,44622,55443,,
1770659340.504335000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.507949000,192.168.0.187,192.168.0.35,64,0x0018,2623,6,216,55443,44622,,
1770659340.508833000,192.168.0.35,192.168.0.187,64,0x0010,2043,6,66,44622,55443,,
1770659340.510538000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.515648000,192.168.0.187,192.168.0.35,64,0x0018,2623,6,187,55443,44622,,
1770659340.516719000,192.168.0.35,192.168.0.187,64,0x0010,2043,6,66,44622,55443,,
1770659340.531183000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.531838000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.532825000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.533014000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.541891000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.542691000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.561994000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.571546000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.573439000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.574321000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.583008000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.593570000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.609822000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.612103000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.613444000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.616954000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.626606000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.628070000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.642454000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.653160000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.654407000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.661818000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.662737000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.667082000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.690333000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.693967000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.695342000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.696210000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
1770659340.700218000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.707801000,192.168.0.35,51.49.17.250,64,0x0018,2608,6,199,45737,443,,
1770659340.722623000,51.49.17.250,192.168.0.35,246,0x0010,3638,6,66,443,45737,,
1770659340.735000000,192.168.0.187,192.168.0.35,64,,,17,60,,,55444,55444
1770659340.735915000,192.168.0.35,192.168.0.187,64,,,17,60,,,55444,55444
