frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773349701.941246000,0.099253000,371,192.168.0.52,52.210.212.218,6,255,357,317,0x0018,129,52444,443,,,
1773349701.946040000,0.004794000,200,192.168.0.52,192.168.0.54,6,255,186,146,0x0018,277,80,51914,,,
1773349701.963888000,0.017848000,87,52.210.212.218,192.168.0.52,6,115,73,33,0x0018,129,443,52444,,,
1773349701.986368000,0.022480000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349702.067589000,0.081148000,60,192.168.0.52,52.210.212.218,6,255,40,0,0x0010,129,52444,443,,,
1773349704.706369000,0.310821000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349704.706442000,0.000073000,60,192.168.0.54,192.168.0.47,6,64,40,0,0x0010,15,49960,80,,,
1773349704.777658000,0.009748000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349716.900796000,0.101441000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349716.970370000,0.069574000,54,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349716.970443000,0.000073000,60,192.168.0.54,192.168.0.52,6,64,40,0,0x0010,277,51914,80,,,
1773349716.984097000,0.013654000,60,192.168.0.52,192.168.0.54,6,255,40,0,0x0010,277,80,51914,,,
1773349717.196342000,0.081000000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349717.491236000,0.253703000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349717.790143000,0.298907000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349718.084128000,0.281365000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349718.393276000,0.309148000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349718.682381000,0.225473000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349718.980721000,0.179055000,70,192.168.0.200,255.255.255.255,17,255,56,,,,,,21112,20002,
1773349719.078900000,0.003509000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0011,15,80,49960,,,
1773349719.078963000,0.000063000,54,192.168.0.54,192.168.0.47,6,64,40,0,0x0011,15,49960,80,,,
1773349719.091753000,0.004967000,60,192.168.0.47,192.168.0.54,6,255,40,0,0x0010,15,80,49960,,,
1773349723.966689000,0.279408000,401,192.168.0.54,192.168.0.52,6,64,387,347,0x0018,277,51914,80,,,
1773349724.053063000,0.008737000,370,192.168.0.52,52.210.212.218,6,255,356,316,0x0018,129,52444,443,,,
