windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueSrcPorts,uniqueDstPorts,tcpPacketCount,udpPacketCount,label
374,1773243109.456046,1773243114.456046,416,313.0192307692308,365.61759549467854,5,5,8,8,416,0,idle
375,1773243114.456046,1773243119.456046,678,322.3333333333333,363.3692870876974,6,6,9,9,678,0,idle
376,1773243119.456046,1773243124.456046,441,316.19727891156464,366.8945904998239,5,5,7,7,441,0,idle
377,1773243124.456046,1773243129.456046,344,322.0494186046512,376.586216302056,5,5,8,8,344,0,idle
378,1773243129.456046,1773243134.456046,395,315.34177215189874,359.5486343442017,5,5,7,7,395,0,idle
379,1773243134.456046,1773243139.456046,398,305.6683417085427,366.0500035390602,6,6,9,9,398,0,bulboff
380,1773243139.456046,1773243144.456046,338,308.70414201183434,368.2608674716643,5,6,7,7,334,4,bulbon
381,1773243144.456046,1773243149.456046,477,306.67505241090146,359.24487982855504,7,8,9,9,473,4,bulbon
382,1773243149.456046,1773243154.456046,421,324.99287410926365,374.2569876518589,5,5,7,7,421,0,idle
383,1773243154.456046,1773243159.456046,360,316.89722222222224,356.7097834797154,5,5,7,7,360,0,idle
384,1773243159.456046,1773243164.456046,416,312.0889423076923,365.7733240687795,5,5,8,8,416,0,idle
385,1773243164.456046,1773243169.456046,372,311.2043010752688,366.7393460020063,6,6,8,8,372,0,idle
386,1773243169.456046,1773243174.456046,432,317.44675925925924,368.6616063403854,6,6,8,8,432,0,idle
387,1773243174.456046,1773243179.456046,627,317.71610845295055,363.1123614096246,8,8,9,9,623,4,idle
388,1773243179.456046,1773243184.456046,504,317.9503968253968,365.1874535937231,5,5,7,7,504,0,idle
389,1773243184.456046,1773243189.456046,402,319.5,371.07609405760354,5,5,7,7,402,0,idle
390,1773243189.456046,1773243194.456046,456,318.92543859649123,368.86315835715254,5,5,9,9,456,0,idle
391,1773243194.456046,1773243199.456046,422,315.07109004739334,356.11743061507485,6,6,8,8,422,0,idle
392,1773243199.456046,1773243204.456046,323,304.0371517027864,364.0898614173333,5,5,7,7,323,0,idle
393,1773243204.456046,1773243209.456046,643,317.8227060653188,363.7511126370485,5,6,8,8,635,8,idle
394,1773243209.456046,1773243214.456046,479,315.25678496868477,365.14428688057666,6,6,9,9,479,0,bulboff
395,1773243214.456046,1773243219.456046,405,324.46666666666664,374.81212059186976,5,5,8,8,405,0,idle
396,1773243219.456046,1773243224.456046,260,301.09615384615387,351.4926944772314,5,5,7,7,260,0,idle
397,1773243224.456046,1773243229.456046,391,306.539641943734,361.84193721437396,7,7,10,10,391,0,bulbon
398,1773243229.456046,1773243234.456046,330,308.6909090909091,366.8292318333401,5,5,7,7,330,0,bulbchange
399,1773243234.456046,1773243239.456046,597,325.6566164154104,366.89805426772836,6,6,9,9,597,0,bulbchange
400,1773243239.456046,1773243244.456046,460,321.5695652173913,369.4098537266048,5,5,8,8,460,0,idle
401,1773243244.456046,1773243249.456046,397,317.0579345088161,366.2023081214819,5,5,8,8,397,0,idle
402,1773243249.456046,1773243254.456046,437,315.0846681922197,357.0085891447321,5,5,8,8,437,0,idle
