windowID,windowStart,windowEnd,packetCount,avgPacketLength,stdPacketLength,uniqueSrcIPs,uniqueDstIPs,uniqueTCPSrcPorts,uniqueTCPDstPorts,uniqueUDPSrcPorts,uniqueUDPDstPorts,TCPPacketCount,UDPPacketCount,avgInterArrivalTime,stdInterArrivalTime,avgTTL,stdTTL,avgIPLen,stdIPLen,avgTCPLen,stdTCPLen,tcpPayloadPacketCount,uniqueTCPStreams,DNSQueryCount,uniqueDNSQueries,label
104,1773746703.793076,1773746708.793076,8,157.875,207.36471493482202,0,0,3,3,0,0,8,0,0.00871725,0.011512596576297263,185.0,74.83314773547883,141.625,208.59799855223923,101.625,208.59799855223923,5,2,0,0,movingaroundhouse
105,1773746704.793076,1773746709.793076,8,157.875,207.36471493482202,0,0,3,3,0,0,8,0,0.00871725,0.011512596576297263,185.0,74.83314773547883,141.625,208.59799855223923,101.625,208.59799855223923,5,2,0,0,movingaroundhouse
106,1773746705.793076,1773746710.793076,8,157.875,207.36471493482202,0,0,3,3,0,0,8,0,0.00871725,0.011512596576297263,185.0,74.83314773547883,141.625,208.59799855223923,101.625,208.59799855223923,5,2,0,0,movingaroundhouse
107,1773746706.793076,1773746711.793076,7,168.28571428571428,221.70980604212815,0,0,3,3,0,0,7,0,0.009128285714285714,0.012371458681366637,175.0,74.83314773547883,151.71428571428572,223.19327520164694,111.71428571428571,223.19327520164694,4,2,0,0,movingaroundhouse
109,1773746708.793076,1773746713.793076,4,144.5,151.53547439461164,0,0,2,2,0,0,4,0,0.009112,0.008732074094967358,185.0,80.82903768654761,127.5,153.78881623837282,87.5,153.78881623837282,2,1,0,0,bulbchange
110,1773746709.793076,1773746714.793076,4,144.5,151.53547439461164,0,0,2,2,0,0,4,0,0.009112,0.008732074094967358,185.0,80.82903768654761,127.5,153.78881623837282,87.5,153.78881623837282,2,1,0,0,bulbchange
111,1773746710.793076,1773746715.793076,4,144.5,151.53547439461164,0,0,2,2,0,0,4,0,0.009112,0.008732074094967358,185.0,80.82903768654761,127.5,153.78881623837282,87.5,153.78881623837282,2,1,0,0,bulbchange
112,1773746711.793076,1773746716.793076,4,144.5,151.53547439461164,0,0,2,2,0,0,4,0,0.009112,0.008732074094967358,185.0,80.82903768654761,127.5,153.78881623837282,87.5,153.78881623837282,2,1,0,0,bulbchange
113,1773746712.793076,1773746717.793076,11,124.18181818181819,110.62623394278428,0,0,4,4,0,0,11,0,0.004853818181818182,0.006430945464209472,191.36363636363637,73.1126155013931,107.45454545454545,112.39694269539865,67.45454545454545,112.39694269539865,6,3,0,0,idle
114,1773746713.793076,1773746718.793076,10,130.8,114.89879604823251,0,0,4,4,0,0,10,0,0.0039323000000000006,0.0067878026726049,199.0,72.29568912920512,114.4,116.57158029868744,74.4,116.57158029868744,6,3,0,0,plugoff
115,1773746714.793076,1773746719.793076,10,130.8,114.89879604823251,0,0,4,4,0,0,10,0,0.0039323000000000006,0.0067878026726049,199.0,72.29568912920512,114.4,116.57158029868744,74.4,116.57158029868744,6,3,0,0,plugoff
116,1773746715.793076,1773746720.793076,10,130.8,114.89879604823251,0,0,4,4,0,0,10,0,0.0039323000000000006,0.0067878026726049,199.0,72.29568912920512,114.4,116.57158029868744,74.4,116.57158029868744,6,3,0,0,plugoff
117,1773746716.793076,1773746721.793076,10,130.8,114.89879604823251,0,0,4,4,0,0,10,0,0.0039323000000000006,0.0067878026726049,199.0,72.29568912920512,114.4,116.57158029868744,74.4,116.57158029868744,6,3,0,0,plugoff
118,1773746717.793076,1773746722.793076,7,157.0,147.70917371646217,0,0,3,3,0,0,7,0,0.009807142857142858,0.008995321254751854,195.0,74.83314773547883,140.42857142857142,149.70065368690183,100.42857142857143,149.7006536869018,4,2,0,0,plugoff
119,1773746718.793076,1773746723.793076,4,144.75,152.03371336647672,0,0,2,2,0,0,4,0,0.01156775,0.007440200058914187,185.0,80.82903768654761,127.75,154.2862599196701,87.75,154.2862599196701,2,1,0,0,bulboff
120,1773746719.793076,1773746724.793076,4,144.75,152.03371336647672,0,0,2,2,0,0,4,0,0.01156775,0.007440200058914187,185.0,80.82903768654761,127.75,154.2862599196701,87.75,154.2862599196701,2,1,0,0,bulboff
121,1773746720.793076,1773746725.793076,4,144.75,152.03371336647672,0,0,2,2,0,0,4,0,0.01156775,0.007440200058914187,185.0,80.82903768654761,127.75,154.2862599196701,87.75,154.2862599196701,2,1,0,0,bulboff
122,1773746721.793076,1773746726.793076,4,144.75,152.03371336647672,0,0,2,2,0,0,4,0,0.01156775,0.007440200058914187,185.0,80.82903768654761,127.75,154.2862599196701,87.75,154.2862599196701,2,1,0,0,idle
126,1773746725.793076,1773746730.793076,3,76.66666666666667,14.433756729740644,0,0,2,2,0,0,3,0,0.029575,0.028768562338080086,208.33333333333334,80.82903768654761,60.666666666666664,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
127,1773746726.793076,1773746731.793076,3,76.66666666666667,14.433756729740644,0,0,2,2,0,0,3,0,0.029575,0.028768562338080086,208.33333333333334,80.82903768654761,60.666666666666664,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
128,1773746727.793076,1773746732.793076,6,124.83333333333333,121.7397497396256,0,0,2,2,0,0,6,0,0.019542833333333332,0.021988713172140534,208.33333333333334,72.29568912920512,108.83333333333333,123.05026073384269,68.83333333333333,123.05026073384269,4,1,0,0,plugon
129,1773746728.793076,1773746733.793076,9,140.77777777777777,131.36188352960093,0,0,3,3,0,0,9,0,0.018458666666666665,0.017555758029774732,208.33333333333334,70.0,124.77777777777777,132.7721523680491,84.77777777777777,132.7721523680491,6,2,0,0,plugon
130,1773746729.793076,1773746734.793076,12,127.25,114.92141583787513,0,0,4,4,0,0,12,0,0.017313166666666668,0.015817500129076442,176.5,83.8911632576833,111.75,115.90680033387326,68.75,117.13094847609273,8,3,0,0,plugon
131,1773746730.793076,1773746735.793076,9,144.11111111111111,129.723209608424,0,0,4,4,0,0,9,0,0.01322588888888889,0.00786968732613381,165.88888888888889,86.81509725336436,128.77777777777777,130.718952124183,84.77777777777777,132.7721523680491,6,3,0,0,plugon
132,1773746731.793076,1773746736.793076,9,144.11111111111111,129.723209608424,0,0,4,4,0,0,9,0,0.01322588888888889,0.00786968732613381,165.88888888888889,86.81509725336436,128.77777777777777,130.718952124183,84.77777777777777,132.7721523680491,6,3,0,0,plugon
133,1773746732.793076,1773746737.793076,6,129.66666666666666,119.2504367567124,0,0,3,3,0,0,6,0,0.015083499999999998,0.007415550114455434,144.66666666666666,88.45488492257886,114.66666666666667,119.97444172267136,68.66666666666667,122.64528799210618,4,2,0,0,idle
134,1773746733.793076,1773746738.793076,3,86.66666666666667,17.8978583448784,0,0,2,2,0,0,3,0,0.013876666666666667,0.0109373480484683,81.0,29.444863728670914,72.66666666666667,17.8978583448784,20.666666666666668,17.897858344878397,2,1,0,0,idle
147,1773746746.793076,1773746751.793076,3,70.0,0.0,0,0,0,0,1,1,0,3,0.001242,0.0019072356959746741,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
148,1773746747.793076,1773746752.793076,6,70.0,0.0,0,0,0,0,1,1,0,6,0.000758,0.0013176945017719397,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
149,1773746748.793076,1773746753.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.0006123750000000001,0.0011467453245100738,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
150,1773746749.793076,1773746754.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.0006123750000000001,0.0011467453245100738,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
151,1773746750.793076,1773746755.793076,8,70.0,0.0,0,0,0,0,1,1,0,8,0.0006123750000000001,0.0011467453245100738,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
152,1773746751.793076,1773746756.793076,5,70.0,0.0,0,0,0,0,1,1,0,5,0.0002346,8.250030302974649e-05,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
153,1773746752.793076,1773746757.793076,2,70.0,0.0,0,0,0,0,1,1,0,2,0.0001755,0.00012091525958289963,255.0,0.0,56.0,0.0,,,0,0,0,0,idle
155,1773746754.793076,1773746759.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.0035235,0.0037983547754258024,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,idle
156,1773746755.793076,1773746760.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.0035235,0.0037983547754258024,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,idle
157,1773746756.793076,1773746761.793076,4,243.25,284.05677249451384,0,0,2,2,0,0,4,0,0.0035235,0.0037983547754258024,185.0,80.82903768654761,227.75,285.35986052701946,187.75,285.35986052701946,3,1,0,0,idle
