frame.time_epoch,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,ip.len,tcp.len,tcp.flags,tcp.stream,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dns.qry.name
1773399499.123369000,0.001766000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.125718000,0.002279000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.143222000,0.017504000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.144620000,0.001398000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.145922000,0.001229000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.169043000,0.023121000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.172119000,0.003076000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.174084000,0.001892000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.193039000,0.018955000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.196815000,0.003776000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.198781000,0.001892000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.217482000,0.018701000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.219263000,0.001781000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.221721000,0.002384000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.237726000,0.016005000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.239802000,0.002076000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.241493000,0.001616000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.260781000,0.019288000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.264474000,0.003693000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.269165000,0.004617000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.282676000,0.013511000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.284523000,0.001847000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.285969000,0.001372000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.305320000,0.019351000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.306497000,0.001177000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.308009000,0.001437000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.326783000,0.018774000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.330179000,0.003396000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.331695000,0.001442000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.349385000,0.017690000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
1773399499.350586000,0.001201000,102,192.168.0.43,192.168.0.14,6,64,88,36,0x0018,18,22,54371,,,
1773399499.354152000,0.003493000,66,192.168.0.14,192.168.0.43,6,64,52,0,0x0010,18,54371,22,,,
1773399499.372561000,0.018409000,102,192.168.0.14,192.168.0.43,6,64,88,36,0x0018,18,54371,22,,,
